from,to,weight
1,2,1
1,3,3
1,4,1
1,26,3
1,35,1
4,15,1
4,17,1
4,35,2
5,6,3
5,7,1
5,8,2
5,9,2
5,10,2
5,14,2
5,18,2
5,19,2
5,21,2
5,22,1
5,27,2
5,28,2
6,31,1
8,10,2
10,11,2
10,12,2
10,13,2
10,16,2
10,18,1
10,19,1
11,15,1
19,20,1
20,33,1
22,23,2
22,24,2
22,25,2
27,28,1
27,29,1
28,29,1
30,31,1
30,34,2
31,32,3
31,34,3
32,33,2
